2012-10-30,1,J00100
2012-10-31,1,J00100
2012-11-01,1,J00100
2012-11-02,1,J00100
2012-11-05,1,J00100
2012-11-06,1,J00100
2012-11-07,1,J00100
2012-11-08,1,J00100
2012-11-09,1,J00100
2012-11-12,1.001,J00100
2012-11-13,1.001,J00100
2012-11-14,1.001,J00100
2012-11-15,1.001,J00100
2012-11-16,1.001,J00100
2012-11-19,1.001,J00100
2012-11-20,1.001,J00100
2012-11-21,1.001,J00100
2012-11-22,1.001,J00100
2012-11-23,1.001,J00100
2012-11-26,1.002,J00100
2012-11-27,1.002,J00100
2012-11-28,1.002,J00100
2012-11-29,1.002,J00100
2012-11-30,1.002,J00100
2012-12-03,1.002,J00100
2012-12-04,1.002,J00100
2012-12-05,1.002,J00100
2012-12-06,1.002,J00100
2012-12-07,1.002,J00100
2012-12-10,1.002,J00100
2012-12-11,1.003,J00100
2012-12-12,1.003,J00100
2012-12-13,1.003,J00100
2012-12-14,1.003,J00100
2012-12-17,1.003,J00100
2012-12-18,1.003,J00100
2012-12-19,1.003,J00100
2012-12-20,1.003,J00100
2012-12-21,1.003,J00100
2012-12-24,1.004,J00100
2012-12-25,1.004,J00100
2012-12-26,1.004,J00100
2012-12-27,1.004,J00100
2012-12-28,1.004,J00100
2012-12-31,1.004,J00100
2013-01-04,1.004,J00100
2013-01-07,1.004,J00100
2013-01-08,1.005,J00100
2013-01-09,1.005,J00100
2013-01-10,1.005,J00100
2013-01-11,1.005,J00100
2013-01-14,1.005,J00100
2013-01-15,1.005,J00100
2013-01-16,1.005,J00100
2013-01-17,1.005,J00100
2013-01-18,1.005,J00100
2013-01-21,1.006,J00100
2013-01-22,1.006,J00100
2013-01-23,1.006,J00100
2013-01-24,1.006,J00100
2013-01-25,1.006,J00100
2013-01-28,1.006,J00100
2013-01-29,1.006,J00100
2013-01-30,1.006,J00100
2013-01-31,1.007,J00100
2013-02-01,1.007,J00100
2013-02-04,1.007,J00100
2013-02-05,1.007,J00100
2013-02-06,1.007,J00100
2013-02-07,1.007,J00100
2013-02-08,1.007,J00100
2013-02-18,1.007,J00100
2013-02-19,1.008,J00100
2013-02-20,1.008,J00100
2013-02-21,1.009,J00100
2013-02-22,1.009,J00100
2013-02-25,1.009,J00100
2013-02-26,1.009,J00100
2013-02-27,1.009,J00100
