2014-05-16,1,J01669
2014-05-30,1,J01669
2014-06-03,1,J01669
2014-06-04,1,J01669
2014-06-05,1,J01669
2014-06-06,1,J01669
2014-06-09,1,J01669
2014-06-10,1,J01669
2014-06-11,0.9999,J01669
2014-06-12,0.9999,J01669
2014-06-13,0.9999,J01669
2014-06-16,0.9999,J01669
2014-06-17,0.9999,J01669
2014-06-18,0.9999,J01669
2014-06-19,0.9999,J01669
2014-06-20,0.9999,J01669
2014-06-23,0.9999,J01669
2014-06-24,0.9999,J01669
2014-06-25,0.9999,J01669
2014-06-26,0.9999,J01669
2014-06-27,0.9999,J01669
2014-06-30,0.9999,J01669
2014-07-01,0.9999,J01669
2014-07-02,0.9999,J01669
2014-07-03,0.9999,J01669
2014-07-04,0.9999,J01669
2014-07-07,0.9999,J01669
2014-07-08,0.9999,J01669
2014-07-09,0.9999,J01669
2014-07-10,0.9999,J01669
2014-07-11,0.9999,J01669
2014-07-14,0.9999,J01669
2014-07-15,0.9999,J01669
2014-07-16,0.9999,J01669
2014-07-17,0.9999,J01669
2014-07-18,0.9999,J01669
2014-07-21,0.9999,J01669
2014-07-22,1.0117,J01669
2014-07-23,1.0117,J01669
2014-07-24,1.0117,J01669
2014-07-25,1.0116,J01669
2014-07-28,1.0116,J01669
2014-07-29,1.0116,J01669
2014-07-30,1.0116,J01669
2014-07-31,1.0116,J01669
2014-08-01,1.0116,J01669
2014-08-04,1.0116,J01669
2014-08-05,1.0116,J01669
2014-08-06,1.0116,J01669
2014-08-07,1.0116,J01669
2014-08-08,1.0116,J01669
2014-08-11,1.0116,J01669
2014-08-12,1.0116,J01669
2014-08-13,1.0116,J01669
2014-08-14,1.0116,J01669
2014-08-15,1.0116,J01669
2014-08-18,1.0116,J01669
2014-08-19,1.0116,J01669
2014-08-20,1.0116,J01669
2014-08-21,1.0116,J01669
2014-08-22,1.0116,J01669
2014-08-25,1.0116,J01669
2014-08-26,1.0116,J01669
2014-08-27,1.0116,J01669
2014-08-28,1.0116,J01669
2014-08-29,1.0116,J01669
2014-09-01,1.0116,J01669
2014-09-02,1.0116,J01669
2014-09-03,1.0116,J01669
2014-09-04,1.0116,J01669
2014-09-05,1.0116,J01669
2014-09-09,1.0116,J01669
2014-09-10,1.0116,J01669
2014-09-11,1.0116,J01669
2014-09-12,1.0116,J01669
2014-09-15,1.0116,J01669
2014-09-16,1.0116,J01669
2014-09-17,1.0116,J01669
2014-09-18,1.0116,J01669
2014-09-19,1.0116,J01669
2014-09-22,1.0116,J01669
2014-09-23,1.0116,J01669
2014-09-24,1.0116,J01669
2014-09-25,1.0116,J01669
2014-09-26,1.0116,J01669
2014-09-29,1.0116,J01669
2014-09-30,1.0368,J01669
2014-10-08,1.0368,J01669
2014-10-09,1.0368,J01669
2014-10-10,1.0368,J01669
2014-10-13,1.0368,J01669
2014-10-14,1.0368,J01669
2014-10-15,1.0368,J01669
2014-10-16,1.0368,J01669
2014-10-17,1.0368,J01669
2014-10-20,1.0368,J01669
2014-10-21,1.0368,J01669
2014-10-22,1.0368,J01669
2014-10-23,1.0368,J01669
2014-10-24,1.0368,J01669
2014-10-27,1.0368,J01669
2014-10-28,1.0368,J01669
2014-10-29,1.0368,J01669
2014-10-30,1.0368,J01669
2014-10-31,1.0368,J01669
2014-11-03,1.0368,J01669
2014-11-04,1.0368,J01669
2014-11-05,1.0368,J01669
2014-11-06,1.0368,J01669
2014-11-07,1.0368,J01669
2014-11-10,1.0368,J01669
2014-11-11,1.0368,J01669
2014-11-12,1.0368,J01669
2014-11-13,1.0369,J01669
2014-11-14,1.0369,J01669
2014-11-17,1.0369,J01669
2014-11-18,1.0369,J01669
2014-11-19,1.0369,J01669
2014-11-20,1.0369,J01669
2014-11-21,1.0369,J01669
2014-11-24,1.0369,J01669
2014-11-25,1.0369,J01669
2014-11-26,1.0369,J01669
2014-11-27,1.0369,J01669
2014-11-28,1.0369,J01669
2014-12-01,1.0369,J01669
2014-12-02,1.0369,J01669
2014-12-03,1.0369,J01669
2014-12-04,1.0369,J01669
2014-12-05,1.0369,J01669
2014-12-08,1.0369,J01669
2014-12-09,1.0369,J01669
2014-12-10,1.0369,J01669
2014-12-11,1.0369,J01669
2014-12-12,1.0369,J01669
2014-12-15,1.0369,J01669
2014-12-16,1.0369,J01669
2014-12-17,1.0369,J01669
2014-12-18,1.0369,J01669
2014-12-19,1.0369,J01669
2014-12-22,1.0369,J01669
2014-12-23,1.0369,J01669
2014-12-24,1.0369,J01669
2014-12-25,1.0369,J01669
2014-12-26,1.0369,J01669
2014-12-29,1.0369,J01669
2014-12-30,1.037,J01669
2014-12-31,1.037,J01669
2015-01-05,1.0619,J01669
2015-01-06,1.0619,J01669
2015-01-07,1.0619,J01669
2015-01-08,1.0619,J01669
2015-01-09,1.0619,J01669
2015-01-12,1.0619,J01669
2015-01-13,1.0619,J01669
2015-01-14,1.0617,J01669
2015-01-15,1.0618,J01669
2015-01-16,1.0618,J01669
2015-01-19,1.0618,J01669
2015-01-20,1.0618,J01669
2015-01-21,1.0618,J01669
2015-01-22,1.0618,J01669
2015-01-23,1.0618,J01669
2015-01-26,1.0618,J01669
2015-01-27,1.0618,J01669
2015-01-28,1.0618,J01669
2015-01-29,1.0618,J01669
2015-01-30,1.0618,J01669
2015-02-02,1.0618,J01669
2015-02-03,1.0619,J01669
2015-02-04,1.0619,J01669
2015-02-05,1.0619,J01669
2015-02-06,1.0619,J01669
2015-02-09,1.0619,J01669
2015-02-10,1.0619,J01669
2015-02-11,1.0619,J01669
2015-02-12,1.0619,J01669
2015-02-13,1.0619,J01669
2015-02-16,1.0619,J01669
2015-02-17,1.0619,J01669
2015-02-25,1.0619,J01669
2015-02-26,1.062,J01669
2015-02-27,1.062,J01669
2015-03-02,1.062,J01669
2015-03-03,1.062,J01669
2015-03-04,1.062,J01669
2015-03-05,1.062,J01669
2015-03-06,1.062,J01669
