2013-05-29,1.0001,J02480
2013-05-30,1.0001,J02480
2013-05-31,1.0002,J02480
2013-06-03,1.0004,J02480
2013-06-04,1.0005,J02480
2013-06-05,1.0006,J02480
2013-06-06,1.0007,J02480
2013-06-07,1.0009,J02480
2013-06-13,1.0015,J02480
2013-06-14,1.0016,J02480
2013-06-17,1.0021,J02480
2013-06-18,1.0023,J02480
2013-06-19,1.0024,J02480
2013-06-20,1.0021,J02480
2013-06-21,1.0016,J02480
2013-06-24,1.0008,J02480
2013-06-25,1,J02480
2013-06-26,1.0022,J02480
2013-06-27,1.0015,J02480
2013-06-28,1.0017,J02480
2013-07-01,1.0006,J02480
2013-07-02,1.0016,J02480
2013-07-03,1.0015,J02480
2013-07-04,1.0015,J02480
2013-07-05,1.002,J02480
2013-07-08,1.0024,J02480
2013-07-09,1.0026,J02480
2013-07-10,1.0027,J02480
2013-07-11,1.0027,J02480
2013-07-12,1.0023,J02480
2013-07-15,1.0025,J02480
2013-07-16,1.0025,J02480
2013-07-17,1.0026,J02480
2013-07-18,1.0026,J02480
2013-07-19,1.0025,J02480
2013-07-22,1.0024,J02480
2013-07-23,1.0022,J02480
2013-07-24,1.0018,J02480
2013-07-25,1.0013,J02480
2013-07-26,1.0018,J02480
2013-07-29,1.0022,J02480
2013-07-30,1.0015,J02480
2013-07-31,1.0009,J02480
2013-08-01,1.001,J02480
2013-08-02,1.0011,J02480
2013-08-05,1.0007,J02480
2013-08-06,1,J02480
2013-08-07,1,J02480
2013-08-08,1,J02480
2013-08-09,0.9997,J02480
2013-08-12,1.0021,J02480
2013-08-13,1.0039,J02480
2013-08-14,1.0036,J02480
2013-08-15,1.0035,J02480
2013-08-16,1.0038,J02480
2013-08-19,1.0042,J02480
2013-08-20,1.0037,J02480
2013-08-21,1.0032,J02480
2013-08-22,1.0042,J02480
2013-08-23,1.0014,J02480
2013-08-26,1.0019,J02480
2013-08-27,1.002,J02480
2013-08-28,1.0019,J02480
2013-08-29,1.0023,J02480
2013-08-30,0.9993,J02480
2013-09-02,0.9999,J02480
2013-09-03,1.0001,J02480
2013-09-04,1.0003,J02480
2013-09-05,1.0004,J02480
2013-09-06,1.0005,J02480
2013-09-09,1.0009,J02480
2013-09-10,1.001,J02480
2013-09-11,1.0011,J02480
2013-09-12,1.0012,J02480
2013-09-13,1.0014,J02480
2013-09-16,1.0018,J02480
2013-09-17,1.0019,J02480
2013-09-18,1.0007,J02480
2013-09-23,1.0013,J02480
2013-09-24,0.9993,J02480
2013-09-25,0.9994,J02480
2013-09-26,0.9997,J02480
2013-09-27,1,J02480
2013-09-30,1.0005,J02480
2013-10-08,1.0017,J02480
2013-10-09,1.0018,J02480
2013-10-10,1.002,J02480
2013-10-11,1.0021,J02480
2013-10-14,1.0026,J02480
2013-10-15,1.0027,J02480
2013-10-16,1.0029,J02480
2013-10-17,1.003,J02480
2013-10-18,1.0027,J02480
2013-10-21,1.0032,J02480
2013-10-22,1.0033,J02480
2013-10-23,1.0034,J02480
2013-10-24,1.0034,J02480
2013-10-25,1.003,J02480
2013-10-28,1.0034,J02480
2013-10-29,0.9993,J02480
2013-10-30,0.9996,J02480
2013-10-31,0.9998,J02480
2013-11-01,1,J02480
2013-11-04,1.0004,J02480
2013-11-05,1.0005,J02480
2013-11-06,1.0007,J02480
2013-11-07,1.0008,J02480
2013-11-08,1.0009,J02480
2013-11-11,1.0013,J02480
2013-11-12,1.0014,J02480
2013-11-13,1.0014,J02480
2013-11-14,1.0015,J02480
2013-11-15,1.0016,J02480
2013-11-18,1.0018,J02480
2013-11-19,1.0019,J02480
2013-11-20,1.0022,J02480
2013-11-21,1.0023,J02480
2013-11-22,1.0016,J02480
2013-11-25,1.002,J02480
2013-11-26,1.0014,J02480
2013-11-27,1.0013,J02480
2013-11-28,1.0015,J02480
2013-11-29,1.0014,J02480
2013-12-02,1.0018,J02480
2013-12-03,1.0019,J02480
2013-12-04,1.002,J02480
2013-12-05,1.0014,J02480
2013-12-06,1.0014,J02480
2013-12-09,1.0018,J02480
2013-12-10,1.002,J02480
2013-12-11,1.0022,J02480
2013-12-12,1.0023,J02480
2013-12-13,1.002,J02480
2013-12-16,1.0025,J02480
2013-12-17,1.0027,J02480
2013-12-18,1.0028,J02480
2013-12-19,1.003,J02480
2013-12-20,1.0025,J02480
2013-12-23,1.003,J02480
2013-12-24,1.0032,J02480
2013-12-25,1.0034,J02480
2013-12-26,1.0035,J02480
2013-12-27,1.0033,J02480
2013-12-30,1.0038,J02480
2013-12-31,1.0038,J02480
2014-01-02,1.0042,J02480
2014-01-03,1.0043,J02480
2014-01-06,1.0048,J02480
