value,date,id
1.0,2013-11-20 00:00:00,HF00000798
1.0009,2014-01-17 00:00:00,HF00000798
1.0026,2014-01-24 00:00:00,HF00000798
1.0058,2014-02-07 00:00:00,HF00000798
1.0075,2014-02-14 00:00:00,HF00000798
1.0091,2014-02-21 00:00:00,HF00000798
1.0107,2014-02-28 00:00:00,HF00000798
1.0123,2014-03-07 00:00:00,HF00000798
1.014,2014-03-14 00:00:00,HF00000798
1.0156,2014-03-21 00:00:00,HF00000798
1.0172,2014-03-28 00:00:00,HF00000798
1.0189,2014-04-04 00:00:00,HF00000798
1.0205,2014-04-11 00:00:00,HF00000798
1.0221,2014-04-18 00:00:00,HF00000798
1.0238,2014-04-25 00:00:00,HF00000798
1.0249,2014-04-30 00:00:00,HF00000798
1.027,2014-05-09 00:00:00,HF00000798
1.0286,2014-05-16 00:00:00,HF00000798
1.0303,2014-05-23 00:00:00,HF00000798
1.0319,2014-05-30 00:00:00,HF00000798
1.0335,2014-06-06 00:00:00,HF00000798
1.0352,2014-06-13 00:00:00,HF00000798
1.0368,2014-06-20 00:00:00,HF00000798
1.0384,2014-06-27 00:00:00,HF00000798
1.0401,2014-07-04 00:00:00,HF00000798
1.0417,2014-07-11 00:00:00,HF00000798
1.0433,2014-07-18 00:00:00,HF00000798
1.0009,2014-07-25 00:00:00,HF00000798
1.0026,2014-08-01 00:00:00,HF00000798
1.0042,2014-08-08 00:00:00,HF00000798
1.0058,2014-08-15 00:00:00,HF00000798
1.0075,2014-08-22 00:00:00,HF00000798
1.0091,2014-08-29 00:00:00,HF00000798
1.0107,2014-09-05 00:00:00,HF00000798
1.0123,2014-09-12 00:00:00,HF00000798
1.014,2014-09-19 00:00:00,HF00000798
1.0156,2014-09-26 00:00:00,HF00000798
1.0189,2014-10-10 00:00:00,HF00000798
1.0205,2014-10-17 00:00:00,HF00000798
1.0221,2014-10-24 00:00:00,HF00000798
1.0238,2014-10-31 00:00:00,HF00000798
1.0254,2014-11-07 00:00:00,HF00000798
1.027,2014-11-14 00:00:00,HF00000798
1.0286,2014-11-21 00:00:00,HF00000798
1.0303,2014-11-28 00:00:00,HF00000798
1.0319,2014-12-05 00:00:00,HF00000798
1.0335,2014-12-12 00:00:00,HF00000798
1.0352,2014-12-19 00:00:00,HF00000798
1.0368,2014-12-26 00:00:00,HF00000798
1.038,2014-12-31 00:00:00,HF00000798
1.0401,2015-01-09 00:00:00,HF00000798
1.0007,2015-01-23 00:00:00,HF00000798
1.0019,2015-01-30 00:00:00,HF00000798
1.0,2015-02-27 00:00:00,HF00000798
1.0,2015-03-06 00:00:00,HF00000798
1.0,2015-03-13 00:00:00,HF00000798
1.0,2015-03-20 00:00:00,HF00000798
1.0,2015-03-27 00:00:00,HF00000798
1.0,2015-04-03 00:00:00,HF00000798
1.0,2015-04-10 00:00:00,HF00000798
1.0,2015-04-17 00:00:00,HF00000798
1.0,2015-04-24 00:00:00,HF00000798
1.0,2015-04-30 00:00:00,HF00000798
1.0,2015-05-08 00:00:00,HF00000798
1.0,2015-05-15 00:00:00,HF00000798
1.0,2015-05-22 00:00:00,HF00000798
1.0,2015-05-29 00:00:00,HF00000798
1.0,2015-06-05 00:00:00,HF00000798
1.0,2015-06-12 00:00:00,HF00000798
1.0,2015-06-19 00:00:00,HF00000798
1.0,2015-06-26 00:00:00,HF00000798
1.0,2015-07-03 00:00:00,HF00000798
1.0,2015-07-10 00:00:00,HF00000798
1.0,2015-07-17 00:00:00,HF00000798
1.0,2015-07-24 00:00:00,HF00000798
1.0,2015-07-31 00:00:00,HF00000798
