value,date,id
1.0,2014-09-12 00:00:00,HF00000AID
1.0019,2014-09-19 00:00:00,HF00000AID
1.0033,2014-09-26 00:00:00,HF00000AID
1.0062,2014-10-10 00:00:00,HF00000AID
1.0077,2014-10-17 00:00:00,HF00000AID
1.0092,2014-10-24 00:00:00,HF00000AID
1.0106,2014-10-31 00:00:00,HF00000AID
1.0121,2014-11-07 00:00:00,HF00000AID
1.0135,2014-11-14 00:00:00,HF00000AID
1.015,2014-11-21 00:00:00,HF00000AID
1.0164,2014-11-28 00:00:00,HF00000AID
1.0179,2014-12-05 00:00:00,HF00000AID
1.0194,2014-12-12 00:00:00,HF00000AID
1.0208,2014-12-19 00:00:00,HF00000AID
1.0223,2014-12-26 00:00:00,HF00000AID
1.0233,2014-12-31 00:00:00,HF00000AID
1.0252,2015-01-09 00:00:00,HF00000AID
1.0267,2015-01-16 00:00:00,HF00000AID
1.0281,2015-01-23 00:00:00,HF00000AID
1.0296,2015-01-30 00:00:00,HF00000AID
1.031,2015-02-06 00:00:00,HF00000AID
1.0325,2015-02-13 00:00:00,HF00000AID
1.0333,2015-02-17 00:00:00,HF00000AID
1.0354,2015-02-27 00:00:00,HF00000AID
1.0369,2015-03-06 00:00:00,HF00000AID
1.0383,2015-03-13 00:00:00,HF00000AID
1.0398,2015-03-20 00:00:00,HF00000AID
1.0412,2015-03-27 00:00:00,HF00000AID
1.0427,2015-04-03 00:00:00,HF00000AID
1.0441,2015-04-10 00:00:00,HF00000AID
1.0456,2015-04-17 00:00:00,HF00000AID
1.0471,2015-04-24 00:00:00,HF00000AID
1.0483,2015-04-30 00:00:00,HF00000AID
1.05,2015-05-08 00:00:00,HF00000AID
1.0514,2015-05-15 00:00:00,HF00000AID
1.0529,2015-05-22 00:00:00,HF00000AID
1.0543,2015-05-29 00:00:00,HF00000AID
1.0558,2015-06-05 00:00:00,HF00000AID
1.0573,2015-06-12 00:00:00,HF00000AID
1.0587,2015-06-19 00:00:00,HF00000AID
1.0602,2015-06-26 00:00:00,HF00000AID
1.0616,2015-07-03 00:00:00,HF00000AID
1.0631,2015-07-10 00:00:00,HF00000AID
1.0645,2015-07-17 00:00:00,HF00000AID
1.066,2015-07-24 00:00:00,HF00000AID
1.0675,2015-07-31 00:00:00,HF00000AID
