value,date,id
1.0,2014-03-29 00:00:00,HF0000082G
1.0029,2014-04-14 00:00:00,HF0000082G
1.0031,2014-04-15 00:00:00,HF0000082G
1.0033,2014-04-16 00:00:00,HF0000082G
1.0034,2014-04-17 00:00:00,HF0000082G
1.0036,2014-04-18 00:00:00,HF0000082G
1.0041,2014-04-21 00:00:00,HF0000082G
1.0043,2014-04-22 00:00:00,HF0000082G
1.0048,2014-04-25 00:00:00,HF0000082G
1.0056,2014-04-30 00:00:00,HF0000082G
1.0072,2014-05-09 00:00:00,HF0000082G
1.0084,2014-05-16 00:00:00,HF0000082G
1.0096,2014-05-23 00:00:00,HF0000082G
1.0108,2014-05-30 00:00:00,HF0000082G
1.012,2014-06-06 00:00:00,HF0000082G
1.0132,2014-06-13 00:00:00,HF0000082G
1.0138,2014-06-16 00:00:00,HF0000082G
1.0139,2014-06-17 00:00:00,HF0000082G
1.0141,2014-06-18 00:00:00,HF0000082G
1.0143,2014-06-19 00:00:00,HF0000082G
1.0144,2014-06-20 00:00:00,HF0000082G
1.015,2014-06-23 00:00:00,HF0000082G
1.0151,2014-06-24 00:00:00,HF0000082G
1.0153,2014-06-25 00:00:00,HF0000082G
1.0155,2014-06-26 00:00:00,HF0000082G
1.0157,2014-06-27 00:00:00,HF0000082G
1.0169,2014-07-04 00:00:00,HF0000082G
1.0181,2014-07-11 00:00:00,HF0000082G
1.0193,2014-07-18 00:00:00,HF0000082G
1.0203,2014-07-24 00:00:00,HF0000082G
1.0205,2014-07-25 00:00:00,HF0000082G
1.0217,2014-08-01 00:00:00,HF0000082G
1.0229,2014-08-08 00:00:00,HF0000082G
1.0241,2014-08-15 00:00:00,HF0000082G
1.0252,2014-08-21 00:00:00,HF0000082G
1.0253,2014-08-22 00:00:00,HF0000082G
1.0265,2014-08-29 00:00:00,HF0000082G
1.0277,2014-09-05 00:00:00,HF0000082G
1.0289,2014-09-12 00:00:00,HF0000082G
1.03,2014-09-18 00:00:00,HF0000082G
1.0302,2014-09-19 00:00:00,HF0000082G
1.0307,2014-09-22 00:00:00,HF0000082G
1.0308,2014-09-23 00:00:00,HF0000082G
1.031,2014-09-24 00:00:00,HF0000082G
1.0312,2014-09-25 00:00:00,HF0000082G
1.0314,2014-09-26 00:00:00,HF0000082G
1.0314,2014-09-29 00:00:00,HF0000082G
1.0314,2014-09-30 00:00:00,HF0000082G
1.0314,2014-10-08 00:00:00,HF0000082G
