value,date,id
1.0,2014-12-03 00:00:00,HF00000CM2
1.001,2014-12-05 00:00:00,HF00000CM2
1.003,2014-12-12 00:00:00,HF00000CM2
1.005,2014-12-19 00:00:00,HF00000CM2
1.008,2014-12-26 00:00:00,HF00000CM2
1.009,2014-12-31 00:00:00,HF00000CM2
1.012,2015-01-09 00:00:00,HF00000CM2
1.014,2015-01-16 00:00:00,HF00000CM2
1.016,2015-01-23 00:00:00,HF00000CM2
1.018,2015-01-30 00:00:00,HF00000CM2
1.021,2015-02-06 00:00:00,HF00000CM2
1.023,2015-02-13 00:00:00,HF00000CM2
1.027,2015-02-27 00:00:00,HF00000CM2
1.029,2015-03-06 00:00:00,HF00000CM2
1.031,2015-03-13 00:00:00,HF00000CM2
1.033,2015-03-20 00:00:00,HF00000CM2
1.035,2015-03-27 00:00:00,HF00000CM2
1.037,2015-04-03 00:00:00,HF00000CM2
1.039,2015-04-10 00:00:00,HF00000CM2
1.042,2015-04-17 00:00:00,HF00000CM2
1.042,2015-04-20 00:00:00,HF00000CM2
1.044,2015-04-24 00:00:00,HF00000CM2
1.046,2015-04-30 00:00:00,HF00000CM2
1.048,2015-05-08 00:00:00,HF00000CM2
1.05,2015-05-15 00:00:00,HF00000CM2
1.052,2015-05-22 00:00:00,HF00000CM2
1.054,2015-05-29 00:00:00,HF00000CM2
1.057,2015-06-05 00:00:00,HF00000CM2
1.059,2015-06-12 00:00:00,HF00000CM2
1.061,2015-06-19 00:00:00,HF00000CM2
1.063,2015-06-26 00:00:00,HF00000CM2
1.065,2015-07-03 00:00:00,HF00000CM2
1.067,2015-07-10 00:00:00,HF00000CM2
1.069,2015-07-17 00:00:00,HF00000CM2
1.072,2015-07-24 00:00:00,HF00000CM2
1.074,2015-07-31 00:00:00,HF00000CM2
1.076,2015-08-07 00:00:00,HF00000CM2
