value,date,id
1.0,2014-06-26 00:00:00,HF000008U3
1.0,2014-08-08 00:00:00,HF000008U3
1.0,2014-08-15 00:00:00,HF000008U3
1.0,2014-08-22 00:00:00,HF000008U3
1.0,2014-08-29 00:00:00,HF000008U3
1.0,2014-09-05 00:00:00,HF000008U3
1.0,2014-09-12 00:00:00,HF000008U3
1.0,2014-09-19 00:00:00,HF000008U3
1.0278,2014-09-26 00:00:00,HF000008U3
1.0277,2014-10-10 00:00:00,HF000008U3
1.0277,2014-10-17 00:00:00,HF000008U3
1.0277,2014-10-24 00:00:00,HF000008U3
1.0277,2014-10-31 00:00:00,HF000008U3
1.0277,2014-11-07 00:00:00,HF000008U3
1.0277,2014-11-14 00:00:00,HF000008U3
1.0277,2014-11-21 00:00:00,HF000008U3
1.0277,2014-11-28 00:00:00,HF000008U3
1.0277,2014-12-05 00:00:00,HF000008U3
1.0277,2014-12-12 00:00:00,HF000008U3
1.0277,2014-12-19 00:00:00,HF000008U3
1.059643,2014-12-26 00:00:00,HF000008U3
1.042345,2014-12-31 00:00:00,HF000008U3
1.042345,2015-01-09 00:00:00,HF000008U3
1.042345,2015-01-16 00:00:00,HF000008U3
1.042345,2015-01-23 00:00:00,HF000008U3
1.042345,2015-01-30 00:00:00,HF000008U3
1.042345,2015-02-06 00:00:00,HF000008U3
1.042345,2015-02-13 00:00:00,HF000008U3
1.042345,2015-02-27 00:00:00,HF000008U3
1.042345,2015-03-06 00:00:00,HF000008U3
1.042345,2015-03-13 00:00:00,HF000008U3
1.042345,2015-03-20 00:00:00,HF000008U3
1.042345,2015-03-27 00:00:00,HF000008U3
1.052453,2015-04-03 00:00:00,HF000008U3
1.052453,2015-04-10 00:00:00,HF000008U3
1.052453,2015-04-17 00:00:00,HF000008U3
1.052453,2015-04-24 00:00:00,HF000008U3
1.052453,2015-04-30 00:00:00,HF000008U3
1.052453,2015-05-08 00:00:00,HF000008U3
1.052453,2015-05-15 00:00:00,HF000008U3
1.052453,2015-05-22 00:00:00,HF000008U3
1.052453,2015-05-29 00:00:00,HF000008U3
1.052453,2015-06-05 00:00:00,HF000008U3
1.052453,2015-06-12 00:00:00,HF000008U3
1.052453,2015-06-19 00:00:00,HF000008U3
1.052453,2015-06-26 00:00:00,HF000008U3
