value,date,id
1.0,2014-11-20 00:00:00,HF00000C65
0.973,2014-11-28 00:00:00,HF00000C65
0.8625,2014-12-05 00:00:00,HF00000C65
0.8158,2014-12-12 00:00:00,HF00000C65
0.8062,2014-12-19 00:00:00,HF00000C65
0.824,2014-12-26 00:00:00,HF00000C65
0.8267,2014-12-31 00:00:00,HF00000C65
0.8296,2015-01-09 00:00:00,HF00000C65
0.8315,2015-01-16 00:00:00,HF00000C65
0.8343,2015-01-23 00:00:00,HF00000C65
0.8344,2015-01-30 00:00:00,HF00000C65
0.8344,2015-02-06 00:00:00,HF00000C65
0.8369,2015-02-13 00:00:00,HF00000C65
0.8382,2015-02-17 00:00:00,HF00000C65
0.8418,2015-02-27 00:00:00,HF00000C65
0.8502,2015-03-06 00:00:00,HF00000C65
0.8584,2015-03-13 00:00:00,HF00000C65
0.863,2015-03-17 00:00:00,HF00000C65
0.87,2015-03-20 00:00:00,HF00000C65
0.8833,2015-03-27 00:00:00,HF00000C65
0.8807,2015-03-31 00:00:00,HF00000C65
0.9064,2015-04-03 00:00:00,HF00000C65
0.9107,2015-04-10 00:00:00,HF00000C65
0.9023,2015-04-17 00:00:00,HF00000C65
0.9037,2015-04-24 00:00:00,HF00000C65
0.9044,2015-04-30 00:00:00,HF00000C65
0.9044,2015-05-04 00:00:00,HF00000C65
0.9044,2015-05-08 00:00:00,HF00000C65
0.922,2015-05-15 00:00:00,HF00000C65
0.9559,2015-05-22 00:00:00,HF00000C65
0.9909,2015-05-29 00:00:00,HF00000C65
1.0281,2015-06-05 00:00:00,HF00000C65
1.0477,2015-06-12 00:00:00,HF00000C65
1.0487,2015-06-17 00:00:00,HF00000C65
1.0461,2015-06-19 00:00:00,HF00000C65
1.0007,2015-06-26 00:00:00,HF00000C65
1.0008,2015-06-30 00:00:00,HF00000C65
1.0006,2015-07-03 00:00:00,HF00000C65
1.0005,2015-07-10 00:00:00,HF00000C65
1.0018,2015-07-17 00:00:00,HF00000C65
1.0037,2015-07-24 00:00:00,HF00000C65
1.0034,2015-07-31 00:00:00,HF00000C65
1.0028,2015-08-07 00:00:00,HF00000C65
